Company,Location,No. Laid Off,Date,Percentage,Industry
Jungle Scout,Austin,,12/9/2023,,Retail
Atmosphere,Austin,,12/7/2023,,Other
BigCommerce,Austin,,11/8/2023,7%,Retail
Sana Benefits,Austin,73,11/1/2023,50%,HR
LegalZoom,Austin,100,10/19/2023,,Legal
Bonterra,Austin,,9/11/2023,,Other
Dell,Austin,,8/7/2023,,Hardware
Phunware,Austin,,7/20/2023,,Other
Khoros,Austin,,7/13/2023,5%,Sales
CS Disco,Austin,,5/11/2023,8%,Legal
Eventus,Austin,,5/5/2023,33%,Finance
Scribe Media,Austin,90,5/4/2023,100%,Marketing
Loop,Austin,19,3/30/2023,25%,Finance
Indeed,Austin,2200,3/22/2023,15%,HR
Sana Benefits,Austin,,2/7/2023,19%,HR
Dell,Austin,6650,2/6/2023,5%,Hardware
Wheel,Austin,56,2/1/2023,28%,Healthcare
National Instruments,Austin,,1/31/2023,4%,Hardware
Icon,Austin,,1/24/2023,,Construction
CS Disco,Austin,62,1/19/2023,9%,Legal
RateGenius,Austin,,1/17/2023,,Finance
Bonterra,Austin,140,1/13/2023,10%,Other
Cart.com,Austin,25,1/10/2023,4%,Retail
Cart.com,Austin,,1/10/2023,,Retail
BigCommerce,Austin,180,12/15/2022,13%,Retail
Unchained Capital,Austin,,11/18/2022,15%,Crypto
Homeward,Austin,,11/16/2022,25%,Real Estate
The Zebra,Austin,50,11/15/2022,,Finance
ZenBusiness,Austin,,11/10/2022,,Other
Spreetail,Austin,,10/27/2022,,Retail
Khoros,Austin,120,10/21/2022,10%,Sales
Nyriad,Austin,,10/10/2022,33%,Infrastructure
Rev.com,Austin,85,10/7/2022,,Data
Wheel,Austin,35,8/18/2022,17%,Healthcare
Core Scientific,Austin,,8/12/2022,10%,Crypto
Homeward,Austin,,8/10/2022,20%,Real Estate
Tesla,Austin,,6/3/2022,10%,Transportation
The Zebra,Austin,40,5/24/2022,,Finance
Workrise,Austin,450,4/5/2022,,Energy
