DATE,AWND,PRCP,TAVG
1/1/2022,11.18,0,74
2/1/2022,15.66,0.01,41
3/1/2022,1.57,0,35
4/1/2022,7.61,0,43
5/1/2022,3.58,0,54
6/1/2022,11.86,0,46
7/1/2022,6.04,0.03,36
8/1/2022,4.92,0.17,47
9/1/2022,12.75,0,59
10/1/2022,15.43,0,50
11/1/2022,5.82,0,45
12/1/2022,3.13,0,49
13/1/2022,2.46,0,49
14/1/2022,6.26,0,52
15/1/2022,19.46,0,53
16/1/2022,5.59,0,45
17/1/2022,3.58,0,44
18/1/2022,9.17,0,50
19/1/2022,8.95,0,65
20/1/2022,19.91,0.01,42
21/1/2022,9.84,0,35
22/1/2022,4.47,0,35
23/1/2022,2.68,0,46
24/1/2022,2.01,0.11,51
25/1/2022,6.71,0,48
26/1/2022,8.5,0,48
27/1/2022,3.8,0,49
28/1/2022,12.3,0,51
29/1/2022,4.47,0,43
30/1/2022,6.93,0,49
31/1/2022,6.71,4.22,52
1/2/2022,2.24,0,57
2/2/2022,9.62,0.88,53
3/2/2022,18.12,1.7,34
4/2/2022,14.32,0,28
5/2/2022,2.68,0,34
6/2/2022,2.91,0,35
7/2/2022,7.16,0,45
8/2/2022,3.58,0,44
9/2/2022,3.36,0,50
10/2/2022,3.58,0,51
11/2/2022,9.17,0,57
12/2/2022,14.54,0.02,53
13/2/2022,4.7,0,42
14/2/2022,8.72,0,48
15/2/2022,10.29,0,53
16/2/2022,17.22,0,65
17/2/2022,17.22,0,66
18/2/2022,10.51,0,42
19/2/2022,2.24,0,43
20/2/2022,7.16,0,49
21/2/2022,15.21,0,69
22/2/2022,11.86,0,72
23/2/2022,18.79,0.03,42
24/2/2022,13.2,0,30
25/2/2022,17,0,34
26/2/2022,12.3,0.07,38
27/2/2022,11.18,0,44
28/2/2022,2.01,0,42
1/3/2022,4.03,0,49
2/3/2022,3.13,0,53
3/3/2022,3.8,0,61
4/3/2022,10.74,0,66
5/3/2022,13.42,0,70
6/3/2022,12.75,0,72
7/3/2022,18.12,0.09,55
8/3/2022,12.75,0.01,46
9/3/2022,6.26,0,46
10/3/2022,5.14,0,49
11/3/2022,17,0,53
12/3/2022,6.71,0,40
13/3/2022,8.5,0,43
14/3/2022,9.4,0,60
15/3/2022,8.72,0,65
16/3/2022,7.83,0,60
